Name_AR,Name_EN,Price,Brand_AR,Category_AR,Sub_Category_AR,Active_Ingredient,Requires_Fridge,Indications,Dosage
توبرادكس قطرة عين 5 مل,Tobradex Eye Drops 5 ml,76,نوفارتس,الأدوية,عدوى العين,ديكساميثازون + توبرامايسين,No,علاج التهابات العين والتهاباتها. منع العدوى بعد جراحة العيون.,توضع 1-2 قطرات في العين (العينين) المصابة 4-6 مرات في اليوم.
دياميكرون إم آر 60 مجم 30 قرص معدل الانطلاق,Diamicron 60 MR 30 Modified Release Film Coated Tablets,156,سيرفير,الأدوية,أدوية مرض السكري,جليكلازيد,No,يستخدم في علاج مرض السكري من النوع 2 (المرضى غير المعتمدين على الأنسولين) للبالغين عندما لا تكون الإجراءات الغذائية، والتمرين البدني، وفقدان الوزن وحدها كافية للتحكم في مستوى السكر في الدم.,الجرعة البدائية الموصى بها هي 30 مليجرام مرة واحدة يوميًا مع وجبة الإفطار. قد يزيد طبيبك تدريجياً من الجرعة إلى حد أقصى يومي يبلغ 120 مليجرام.
جاست ريج 200 مجم 30 قرص,Gast-Reg 200 mg 30 Tablets,84,امون,الأدوية,مضاد للتقلصات,تريميبوتين,No,علاج متلازمة القولون العصبي (IBS) تخفيف الألم وعدم الارتياح والانتفاخ في البطن علاج الهضم الوظيفي (FD),200 مليجرام 3 مرات يوميًا
كالسيكفولينون 10 مجم / 5 مل 1 أمبول,Calcifolinon 10 mg/ml 10 ml 1 Vial,128,جلوبال فارماسيوتيكال,الأدوية,ادوية الاورام,فولينيك اسيد,Yes,يستخدم كترياق لمواجهة التأثيرات السامة لبعض أدوية العلاج الكيميائي أو لعلاج نقص حمض الفوليك.,
نيفيلوب 2.5 مجم 14 قرص,Nevilob 2.5 mg 14 Tablets,46,ماركيرل,الأدوية,أمراض القلب و الضغط و الدم,نيبيفولول,No,دواء مثبط لمستقبلات بيتا يستخدم لعلاج ارتفاع ضغط الدم يمكن أيضًا استخدامها لعلاج قصور القلب,خذ قرصًا واحدًا عن طريق الفم مرة يوميًا
استيل سستايين 600 مجم 10 اكياس فوارة,Acetylcistein 600 mg 10 Sachets,70,سيدكو,الأدوية,أدوية الكحة,أسيتيل سيستين,No,يُستخدم لتخفيف لزوجة البلغم وجعله أسهل في طرده عن طريق السعال. يُستخدم أيضًا لعلاج احتقان الصدر والسعال الناتج عن العدوى التمثائلية، مثل التهاب القصبة الهوائية والالتهاب الرئوي.,
نايت كالم 3 مجم 30 قرص مغلف,Night Calm 3 mg 30 Film Coated Tablets,105,ميدزين,الأدوية,مضادات القلق واضطراب النوم,إيزوبيكلون,No,دواء يباع بوصفة طبية يستخدم لعلاج الأرق. إنه دواء مهدئ ومنوم يعمل عن طريق تهدئة الجهاز العصبي المركزي.,تختلف الجرعة تبعًا لاحتياجات المريض الفردية. من المهم اتباع تعليمات الطبيب عند تناول هذا الدواء.
فيروديونال 100 مجم 30 كبسولة جلاتينية صلبة,Ferroduonal 30 Hard Gelatin Capsules,135,مينا فارم,فيتامينات & طعام صحي,حديد,N/A,No,مكمل غذائي يستخدم في المقام الأول لمعالجة نقص الحديد ودعم الصحة العامة.,
دالاسين سي 300 مجم 10 أقراص,Dalacin C 300 mg 10 Capsules,114,فايزر,الأدوية,مضادات حيوية,كليندامايسين,No,علاج الالتهابات البكتيرية التي تسببها سلالات حساسة من البكتيريا اللاهوائية ، والهوائيات إيجابية الجرام ، وبعض البروتوزوا. يستخدم لعلاجالالتهابات الخطيرة التي تسببها البكتيريا اللاهوائية الحساسة ، بما في ذلك الالتهابات داخل البطن والتهابات الجلد والأنسجة الرخوة.,البالغون: 150-450 مجم كل 6 ساعات حسب شدة العدوى. الأطفال: 3-6 مغ / كجم كل 6 ساعات ، اعتمادا على شدة العدوى (لا تتجاوز جرعة الكبار).
برايفت الليلية رفيعة جدًا 14 قطعة,Private Extra Thin Night 14 Pads,92,برايفت,العناية اليومية,فوط صحية,N/A,No,,
نيوروفيت - 30 قرص,Neurovit 30 Tablets,102,العامرية,فيتامينات & طعام صحي,فيتامين ب وب مركب,N/A,No,,
امبيزيم ج 30 قرص,Ambezim G 30 Enteric Coated Tablets,102,جلوبال نابى,الأدوية,مضادات الالتهاب و التورم,N/A,No,تقليل الالتهاب والتورم تخفيف الألم تعزيز التئام الجروح والإصابات تحسين الهضم,تناول 1-2 قرصًا 3-4 مرات يوميًا ، أو حسب توجيهات الطبيب.
رينجر محلول وريدي بغطاء 500 مل (فبيكو),Ringer Intravenous Infusion With Cap 500 ml (Fibco),26,فيبكو,الأدوية,الأدوية المتخصصة,N/A,No,علاج خلل الاليكروليت، مثل نقص صوديوم الدم ونقص بوتاسيوم الدم ونقص كالسيوم الدم تعويض السوائل في المرضى المصابين بنقص حجم الدم الحفاظ على توازن السوائل والاليكتروليت في المرضى غير القادرين على تناول السوائل أو الاليكتروليت عن طريق الفم,يتم تحديد الجرعة من قبل أخصائي الرعاية الصحية بناءً على احتياجات المريض الفردية.
بروفين 400 مجم 30 قرص,Brufen 400 mg 30 Tablets,78,أبوت,الأدوية,مسكنات وخافض الحرارة,ايبوبروفين,No,مسكن للألم مخفض للحمى مضاد التهاب,تناول قرص واحد عن طريق الفم كل 4-6 ساعات حسب الحاجة.
ستربتوكين 20 قرص,Streptoquin 20 Tablets,46,شركة المهن الطبية,الأدوية,علاج الاسهال,N/A,No,يُستخدم كدواء وصفة طبية لعلاج العدوى التي تسببها البكتيريا. يحتوي على المضادات الحيوية سلفاميثوكسازول، فثاليل سلفاثيازول، والستربتومايسين، بالإضافة إلى المضاد للتشنج هوماتروبين الميثيل بروميد، والمطهر ديهيدروكسيكوينولين.,
بارسيميانت 4 مجم 28 قرص,Barcimiant 4 mg 28 Tablets,2480,ايفا فارما,الأدوية,مثبطات المناعة,باريسيتينيب,No,معتدلة إلى حادة التهاب المفاصل الروماتويدي لدى البالغين الذين لم يستجيبوا جيدًا لواحد أو أكثر من العلاجات الأخرى. التهاب الجلد التأتبي المعتدل إلى الشديد لدى البالغين الذين هم مرشحون للعلاج الجهازي.,الجرعة الموصى بها هي 4 مليجرام مرة واحدة يوميا. يوصى بجرعة من 2 مليجرام مرة واحدة يوميًا لبعض المرضى ، مثل المرضى المعرضين لخطر أعلى من جلطات الدم ، أو مشاكل القلب ، أو السرطان ، والذين يزيد عمرهم عن 65 عامًا ، وأولئك الذين لديهم تاريخ من الالتهابات. قد يعدل طبيبك الجرعة بناءً على حالتك المرضية.
أوندالينز 8 مجم 5 افلام فموية,Ondalenz 8 mg 5 Oral Films,265,نيرهادو,الأدوية,مضادات القيء و الغثيان,أوندانسيترون,No,علاج الغثيان والقيء المرتبط بالعلاج الكيميائي أو الجراحة. الوقاية من الغثيان والقيء بعد الجراحة.,اتبع الجرعة الموصوفة من قبل أخصائي الرعاية الصحية. عادةً ما يتم تناول قرص واحد بقوة 8 مجم قبل ساعة إلى ساعتين من العلاج الكيميائي أو الجراحة.
ليمتلس ألزايم ماكس 20 قرص,Limitless Allzyme Max 20 Tablets,155,ليمتلس,الأدوية,مضادات الالتهاب و التورم,N/A,No,مساعد في الهضم. مضاد للالتهاب. تخفيف الألم. تقليل الانتفاخ.,للبالغين: 1-2 أقراص مع أو بعد الوجبات، أو وفقًا لتوجيهات محترف الرعاية الصحية. الأطفال: غير مستحسن للأطفال دون سن 12 عامًا.
بنادول كولد & فلو داى 24 قرص,Panadol Cold & Flu Day 24 Film Coated Tablets,76,جي إس كيه,الأدوية,أدوية نزلات البرد والانفلونزا,الباراسيتامول+الكافيين+فينيليفرين,No,يعد دواءً بدون وصفة طبية الاستخدامات:تخفيف أعراض الزكام والإنفلونزا. الاستخدامات : الاستخدامات:تخفيف الأعراض التالية للزكام والإنفلونزا.,
ريد سائل قاتل الناموس بدون رائحة 41 مل,Raid Odorless Liquid Mosquito Killer Re-Fill 41 ml,115,رايد,العناية اليومية,طارد الحشرات,N/A,No,,
وان تو ثري 20 قرص مغلف,One Two Three 20 Film Coated Tablets,40,الحكمة,الأدوية,أدوية نزلات البرد والانفلونزا,كلورفينيرامين + باراسيتامول + سودوإيفيدرين,No,أعراض البرد والإنفلونزا، مثل الصداع والحمى وآلام الجسم وسيلان الأنف أو احتقانه والعطس والحكة والعيون الدامعة واحتقان الجيوب الأنفية.,الكبار والأطفال الذين تبلغ أعمارهم 12 عامًا فأكثر: قرصًا واحدًا إلى قرصين كل 4-6 ساعات حسب الحاجة، بحيث لا تتجاوز 8 أقراص في 24 ساعة. الأطفال من 6 إلى 11 عامًا: قرصًا واحدًا كل 4-6 ساعات حسب الحاجة، بحيث لا تتجاوز 4 أقراص في 24 ساعة.
ستارفيل قناع ورقي لعلاج حب الشباب 1 قطعة,Starville Acne Prone Skin Mask Sheet 1 Sheet,55,ستارفيل,العناية بالبشرة و الجسم,ماسكات للوجه,N/A,No,,
بيتادين مطهر محلول 10% 60 مل,Betadine Antiseptic Solution 10% 60 ml,60,موندي فارما,العناية اليومية,مطهرات,N/A,No,,
بيبي تشيك اختبار الحمل,Baby Check Pregnancy Test,10,N/A,الأجهزة والمستلزمات الطبية,الاختبارات المنزلية,N/A,No,,
بولي فريش 0.2% قطرة للعين 10 مل,Polyfresh Eye Drops 10 ml,75,اوركيديا,الأدوية,علاج جفاف العين,N/A,No,تخفيف جفاف العين والتهيج. علاج جفاف العين الناتج عن استخدام عدسات اللاصقة.,قطرة واحدة في كل عين حسب الحاجة.
سوماتروبين (سيدكو) 4 وحدة دولية 1 فيال,"Somatropin 4 I.U, S.C. I.M. 1 Vial",321,سيدكو,الأدوية,علاج هرمونى,السوماتروبين,No,نقص هرمون النمو (GHD) عند الأطفال والبالغين متلازمة تيرنر متلازمة برادر ويلي القامة القصيرة بسبب مرض الكلى المزمن القامة القصيرة بسبب القامة القصيرة مجهولة السبب القامة القصيرة بسبب متلازمة عدم حساسية هرمون النمو فشل النمو بعد الولادة صغيرة الحجم مقارنة بالعمر (SGA) متلازمة الهزال الناتج عن الإيدز فشل الأمعاء,
سوفي فوط صحية سميكة طويلة جدا جدا بالمسك 24 قطعة (2x12 عرض),Sofy Maxi Thick Super Extra Long With Musk 24 Pads (12X2 Offer),115,سوفي,العناية اليومية,فوط صحية,N/A,No,,
سيلبريكس 200 مجم 15 كبسولة,Celebrex 200 mg 15 Capsules,198,فايزر,الأدوية,مسكنات وخافض الحرارة,سيلكوكسيب,No,تخفيف الأعراض في حالات مثل التهاب المفاصل النقري (التهاب المفاصل الشديد) والتهاب المفاصل الروماتويدي ومرض العصب الفقري الملتحم.,200 مليجرام مرة يوميًا أو مرتين يوميًا، اعتمادًا على شدة حالتك. لا تتناول أكثر من 400 مليجرام يوميًا.
أوندالينز 4 مجم 5 افلام فموية,Ondalenz 4 mg 5 Oral Films,160,نيرهادو,الأدوية,مضادات القيء و الغثيان,أوندانسيترون,No,علاج الغثيان والقيء المرتبط بالعلاج الكيميائي أو الجراحة. الوقاية من الغثيان والقيء بعد الجراحة.,اتبع الجرعة الموصوفة من قبل أخصائي الرعاية الصحية. عادةً ما يتم تناول قرص واحد بقوة 4 مجم قبل ساعة إلى ساعتين من العلاج الكيميائي أو الجراحة.
نيوكاربون 30 كبسولة,Neocarbon 30 Capsules,200,ولفرام,الأدوية,مهضم ومضاد للانتفاخات,N/A,No,مضاد للانتفاخ (يخفف الغازات) الممتزات (يرتبط بالسموم والغازات) طارد للريح (يعزز طرد الغاز) طريقة الاستعمال : الكبار: تأخذ 3-5 كبسولات ، 2 مرات في اليوم (بعد وجبات الطعام). الأطفال 6-12 سنة: تأخذ 2-3 كبسولات ، 2 مرات في اليوم. الأطفال دون سن 6 سنوات: اسأل الطبيب.,
فيوسيدين كريم 30 جم,Fucidin Cream 30 gm,96,مينا فارم,الأدوية,عدوى الجلد,حمض الفوسيديك,No,علاج التهابات الجلد الناتجة عن البكتيريا ، مثل الجريبات ، التهاب الجريبات ، والدمامل.,ضع طبقة رقيقة من الكريمة على المنطقة المصابة ثلاث مرات في اليوم.
انتيروجيرمينا 2 بليون/ 5 مل محلول عن طريق الفم 10 زجاجات صغيرة,Enterogermina 2 Billions/5 ml Oral Suspension 10 Mini Bottles,200,سانوفى,الأدوية,علاج الاسهال,N/A,No,بروبيوتيك يحتوي على باسيلوس كلاوزي ، وهي بكتيريا حية موجودة بشكل طبيعي في الأمعاء. عادة ما يتم استخدامه لعلاج الإسهال، ولكنه يمكن أيضًا استخدامه لمنع الإسهال الناتج عن المضادات الحيوية. كما يمكن استخدامه لتحسين صحة الأمعاء بشكل عام.,
اورسوفالك 250 مجم 20 كبسولة,Ursofalk 250 mg 20 Capsules,162,مينا فارم,الأدوية,أدوية تحسين وظائف الكبد و المرارة,حمض الأرسوديوكسيكوليك,No,علاج حصوات المرارة منع تكون حصوات مرارة جديدة علاج التهاب الأقنية الصفراوية الأولي، وهو مرض مزمن في الكبد,250 مليجرام مرة واحدة يوميا
بريزولين نقط للعين والأنف 15 مل,Prisoline Ophthalmic & Nasal Solution 15 ml,23,القاهرة,الأدوية,علاج حساسية و احتقان العين,كلورفينييرامين+نافازولين,No,تخفيف الاحمرار والحكة والدموع في العينين والأنف بسبب الحساسية أو نزلات البرد. تقليل احتقان الأنف.,العينان: ضع 1-2 قطرة في العين (العينين) المصابة 3-4 مرات يوميًا. الأنف: ضع 2-3 قطرات في كل منخر 3-4 مرات يوميًا.
سولباسيف 1.5 جرام فيال للحقن العضلي او الوريدي,Sulbacef 1.5 gm (I.V/I.M) Injection Vial,123,أدفوكور,الأدوية,مضادات حيوية,سيفوبيرازون + سولباكتام,No,مضاد حيوي مضاد للجراثيم واسع المجال يستخدم هذا الدواء لعلاج الالتهابات البكتيرية في أجزاء مختلفة من الجسم.,الجرعة المعتادة هي 1.5 جرام كل 12 ساعة.
بانتولوك 40 مجم 14 قرص مغلف معوي,Pantoloc 40 mg 14 Enteric Coated Tablets,102,شركة المهن الطبية,الأدوية,مضادات الحموضة و قرحة المعدة,بانتوبرازول,No,علاج ارتجاع الحمض (مرض الارتجاع المعدي المريئي، GERD) التئام القرحات الهضمية (قرحات الاثني عشر والمعدة) الوقاية من القرحات الهضميةالناتجة عن مضادات الالتهاب غير الستيرويدية (المسكنات) علاج متلازمة زولينجر-إليسون وغيرها من الحالات التي تفرط فيها المعدة في إفراز الحمض,الجرعة المعتادة هي 40 مليجرام مرة واحدة يوميًا. في بعض الحالات، قد يزيد طبيبك من الجرعة إلى 80 مليجرام مرة واحدة يوميًا.
باي بروفينيد 150 مجم 20 قرص,Bi-Profenid 150 mg 20 Tablets,54,سانوفى,الأدوية,مسكنات وخافض الحرارة,كيتوبروفين,No,مضاد للالتهابات غيرستيرويدي (NSAID) إزالة الألم والالتهاب والانتفاخ,١٥٠ مجم قرص، يتم تناوله عن طريق الفم ثلاث مرات يوميًا.
هاي فريش نقط للعين 10 مل,Hyfresh 0.2% Eye Drops 10 ml,75,جمجوم فارما,الأدوية,علاج جفاف العين,N/A,No,تخفيف جفاف العين والتهيج. علاج جفاف العين الناتج عن استخدام عدسات اللاصقة.,قطرة واحدة في كل عين حسب الحاجة.
أوميز 20 مجم 14 كبسولة,Omez 20 mg 14 Capsules,56,فاروفارما,الأدوية,مضادات الحموضة و قرحة المعدة,أوميبرازول,No,علاج ومنع مرض الجزر الحمضي (GERD) شفاء القرحة الهضمية منع القرح الناتجة عن مضادات الالتهاب غير الستيروئيدية علاج عدوى هيليكوباكتر بيلوري متلازمة زولينجر إليسون,الجرعة المعتادة هي 20 مليجرام مرة واحدة يوميا. في بعض الحالات، قد يصف طبيبك جرعة أعلى قدرها 40 مليجرام مرة واحدة يوميًا. تعتمد مدة العلاج على الحالة التي يتم علاجها.
سيلوكينزوك 50 مجم 28 قرص ممتد المفعول,Selokenzoc 50 mg 28 Prolonged Release Tablets,94,أسترازينيكا,الأدوية,أمراض القلب و الضغط و الدم,ميتوبرولول,No,يستخدم هذا الدواء لعلاج ارتفاع ضغط الدم، وألم في الصدر، والسيطرة على النوبات القلبية,تناول قرصًا واحدًا عن طريق الفم مرة واحدة يوميًا
شاش طبي 15 سم,Mediacal Gauze 15 Cm,9,N/A,الأجهزة والمستلزمات الطبية,العناية بالجروح والحروق,N/A,No,,
دافلون 500 مجم 30 قرص مغلف,Daflon 500 mg 30 Film Coated Tablets,236,سيرفير,الأدوية,ادوية علاج البواسير والدوالي,ديوسمين + هيسبيريدين,No,يعالج الدوالي، والوذمة اللمفاوية، والبواسير. يحسن تدفق الدم ويقلل الالتهابات. لديه خصائص مضادة للأكسدة.,قرص واحدة مرتين يوميًا
ميلجا 40 قرص مغلف,Milga 40 Film Coated Tablets,108,ايفا فارما,فيتامينات & طعام صحي,فيتامين ب وب مركب,N/A,No,,
تريسيبا 100 وحدة/مل فليكس تاتش 1 قلم مملوء مسبقًا 3 مل,Tresiba 100 Units/ml Flextouch 1 Pre-Filled Pen 3 ml,550,نوفو نورديسك,الأدوية,الانسولين,الأنسولين ديلوديك,Yes,,
ايوكاربون 30 قرص,Eucarbon 30 Tablets,135,سيدكو,الأدوية,مهضم ومضاد للانتفاخات,N/A,No,ملين خفيف طارد للريح (يخفف الغاز) الممتزات (يرتبط بالسموم والغازات),
نيورونتين 300 مجم 20 كبسولة,Neurontin 300 mg 20 Capsules,108,فايزر,الأدوية,أدوية الصرع,غابابنتين,No,النوبات الجزئية في البالغين والأطفال الذين تبلغ أعمارهم 3 سنوات وما فوق ألم الأعصاب الناتج عن الهربس (PHN) في البالغين متلازمة الساقين العصبية (RLS) في البالغين,من 300 مليجرام إلى 1800 مليجرام يوميًا، مقسمة إلى 3 جرعات.
ريفو 320 مجم 10 أقراص,Rivo 320 mg 10 Tablets,7.05,أدكو,الأدوية,مسكنات وخافض الحرارة,حمض الأسيتيل ساليسيليك,No,منع تكوين تجلطات الدم في الشرايين. تقليل خطر الإصابة بأزمات القلب والسكتة الدماغية ومشاكل القلب والأوعية الدموية الأخرى.,
ميدالجيسك 1000 مجم /100 مل فيال,Medalgesic 1000 mg/100 ml Vial I.V,60,ارابكوميد,الأدوية,مسكنات وخافض الحرارة,باراسيتامول,No,تخفيف الألم ، بما في ذلك الصداع ، الصداع النصفي ، وجع الأسنان ، وآلام الحيض ، وآلام العضلات. الحد من الحمى.,البالغين والأطفال الذين تزيد أعمارهم عن 12 عامًا: 1000-1500 ملجم كل 4-6 ساعات ، بحد أقصى 4000 ملجم يوميًا. الأطفال دون سن 12 عامًا: الجرعة المحسوبة على أساس وزن الجسم.
بيكوزيم 2 مل 12 امبول,Becozyme 2 ml 12 Ampoules,120,باير,فيتامينات & طعام صحي,فيتامين ب وب مركب,N/A,No,مكمل غذائي لدعم الصحة العامة واستقلاب الطاقة.,
تكساكورت 0.1 % كريم موضعي 20 جم,Texacort 0.1% Cream 20 gm,22,ماركيرل,الأدوية,ملطف موضعي و مضاد للالتهاب,الهيدروكورتيزون,No,مرهم موضع، مضاد للالتهابات، هرمون كورتيكوستيرويدي.,
فيلداجلوس بلس 50 مجم/1000 مجم 30 قرص مغلف,Vildagluse Plus 50/1000 30 Film Coated Tablets,147,انسبير فارما,الأدوية,أدوية مرض السكري,فيلداجليبتين + ميتفورمين,No,تحسين التحكم في مستوى السكر في الدم لدى البالغين الذين يعانون من مرض السكري من النوع 2.,قرص واحد مرتين يوميًا.
اميجران ادكو 30 قرص مغلف,Amigraine Adco 30 Film Coated Tablets,93,أدكو,الأدوية,الصداع النصفي,الكافيين + ديبيرون (ميتاميزول) + إرغوتامين,No,تخفيف نوبات الصداع النصفي الحادة,
فيسيرالجين 50 مجم 20 قرص مغلف,Visceralgine 50 mg 20 Film Coated Tablets,42,سيدكو,الأدوية,مضاد للتقلصات,تيمونيوم ميثيل سلفات,No,مضاد للتشنجات يخفف من الآلام البطن والتشنجات يعالج الاضطرابات الهضمية ومتلازمة الأمعاء العصبية وحالات أخرى,البالغين: 1 قرص ثلاث مرات في اليوم. الأطفال دون سن 12 عامًا: استشر الطبيب
ديرماتول غيار جروح غير لاصق/ شاش فازلين 10/20 سم,"Dermatol Non-Adhesive Dressing, Vaseline Gauze 10/20Cm",14,ماسكو ميد,الأجهزة والمستلزمات الطبية,العناية بالجروح والحروق,N/A,No,,
فوناسبير 20 مجم 30 قرص مغلف,Vonaspire 20 mg 30 Film Coated Tablets,219,انسبير فارماسيوتيكال,الأدوية,مضادات الحموضة و قرحة المعدة,فونوبرازان,No,,
زنكترون 30 كبسولة,Zinctron 30 Capsules,126,نيرهادو,فيتامينات & طعام صحي,زنك,N/A,No,تستخدم كمكمل غذائي لدعم صحة المناعة والرفاهية العامة.,
سوفي فوط صحية سميكة طويلة بالمسك 16 قطعة,Sofy Maxi Long With Musk 16 Pads,105,سوفي,العناية اليومية,فوط صحية,N/A,No,,
جلوكوفاج إكس آر 1000 مجم 30 قرص مغلف,Glucophage XR 1000 mg 30 Film Coated Tablets,150,مينا فارم,الأدوية,أدوية مرض السكري,ميتفورمين,No,السكري من النوع 2,الجرعة الأولية المعتادة هي 500 مليجرام مرة يوميًا، تُؤخذ مع الطعام. قد يزيد طبيبك تدريجيًا من الجرعة حتى تصبح مستويات السكر في الدم تحت السيطرة. الجرعة القصوى الموصى بها هي 2000 مليجرام يوميًا.
بلاستر طبي حرير 5 سم,Plaster Silk Blast 5 Cm,55,N/A,الأجهزة والمستلزمات الطبية,العناية بالجروح والحروق,N/A,No,,
كابرون 500 مجم 20 قرص,Kapron 500 mg 20 Film Coated Tablets,110,امون,الأدوية,أمراض القلب و الضغط و الدم,حمض الترانيكساميك,No,,
"تيمبو كول لاصقات خافضة للحرارة للأطفال, 4 قطع","Tempo Cool Patches For Fever Children +1 Years, 4 Pieces",40,ماسكو ميد,الأجهزة والمستلزمات الطبية,كمادات سخن و بارد,N/A,No,,
اسبوسيد 75 مجم 30 قرص,Aspocid 75 mg 30 Tablets,33,سيد,الأدوية,أمراض القلب و الضغط و الدم,حمض الأسيتيل ساليسيليك,No,دواء يصرف بوصفة طبية يُستخدم لتخفيض الحمى والألم الخفيف إلى المعتدل الناتجعن الصداع، الحيض، الزكام، آلام الأسنان أو آلام العضلات.,تختلف الجرعة حسب احتياجات المريض الفردية. من المهم اتباع تعليمات الطبيب عند تناول هذا الدواء.
جيليت بلو 2 بلس ماكينة حلاقة 1 ماكينة,Gillette Blue 2 Plus Disposable Razor 1 Razor,25,جيليت,العناية اليومية,أدوات الحلاقة والتشذيب,N/A,No,,
إبيكوبريد 5 مجم 30 قرص,Epicopred 5 mg 30 Tablets,69,إيبيكو,الأدوية,هرمون الكورتيزون,بريدنيزولون,No,تعامل مع مجموعة متنوعة من الحالات الالتهابية ، بما في ذلك الحساسية والربو والتهاب المفاصل وأمراض الأمعاء الالتهابية. قمع الجهاز المناعي من أجل منع رفض الأعضاء بعد الزرع. علاج أنواع معينة من السرطان ، مثل سرطان الدم والورم الليمفاوية.,تختلف جرعة Epicopred 20mg 20tablets prednisolone اعتمادًا على حالة الفرد والاستجابة للعلاج. من المهم اتباع تعليمات طبيبك بعناية.
يوروسولفين حبيبات فوارة 12 كيس,Urosolvine Effervescent Granules 12 Sachets,38,النيل,الأدوية,حصوات الكلى,كبريتات الأتروبين+كولشيسين+سيترات بيبيرازين,No,يستخدم في علاج: النقرس. ارتفاع مستويات حمض اليوريك (البولي) في الدم. حصوات الكلى. تشنجات الكلى. كوليك الكلى.,
باي الكوفان 150 مجم 30 قرص,Bi-Alcofan 150 mg 30 Tablets,81,الاسكندرية,الأدوية,مسكنات وخافض الحرارة,كيتوبروفين,No,مسكن للألم مضاد للالتهابات يقلل من الانتفاخ وصلابة المفاصل,١٥٠ مليجرام لكل قرص.
فلاجيل 500 مجم 20 قرص مغلف,Flagyl 500 mg 20 Film Coated Tablets,34,سانوفى,الأدوية,مضادات الطفيليات,ميترونيدازول,No,دواء مضاد حيوي يستخدم لعلاجمجموعة متنوعة من الالتهابات البكتيرية ، بما في ذلك التهابات المسالك البولية ، والتهاب المهبل البكتيري ، والجيارديا.,حسب توجيهات الطبيب.
كليكسان 6000 وحدة دولية (60 مجم)/0.6 مل 2 سرنجة مملوءة مسبقًا,Clexane 6000 I.U. (60 mg)/0.6 ml 2 Pre-Filled Syringes,367,سانوفى,الأدوية,أمراض القلب و الضغط و الدم,إنوكسابارين الصوديوم,No,يمنع جلطات الدم يحتوي على إنوكسابارين الصوديوم، وهو عبارة عن هيبارين منخفض الوزن الجزيئي,حسب توجيهات الطبيب
زيثرون 500 مجم 5 أقراص مغلفة,Xithrone 500 mg 5 Film Coated Tablets,86,امون,الأدوية,مضادات حيوية,أزيثرومايسين,No,يستخدم هذا الدواء لعلاج مجموعة متنوعة من الالتهابات ، بما في ذلك: التهابات الصدر مثل الالتهاب الرئوي التهابات الأذن والأنف والحنجرة التهابات الجيوب الأنفية من المهم تناول هذا الدواء تمامًا كما يحدده طبيبك.,خذ قرصًا واحدًا عن طريق الفم مرة واحدة في اليوم لمدة 5 أيام.
فيوسيدين كريم 15 جم,Fucidin Cream 15 gm,56,مينا فارم,الأدوية,عدوى الجلد,حمض الفوسيديك,No,علاج التهابات الجلد الناتجة عن البكتيريا ، مثل الجريبات ، التهاب الجريبات ، والدمامل.,ضع طبقة رقيقة من الكريمة على المنطقة المصابة ثلاث مرات في اليوم.
بولي فريش ادفانسد قطرة للعين 10 مل,Polyfresh Advanced Eye Drops 10 ml,160,اوركيديا,الأدوية,علاج جفاف العين,N/A,No,تم تصميم قطرات العين Polyfresh Advanced لتوفير الراحة والترطيب للعيون الجافة والمتهيجة. يساعد مزيج المكونات، بما في ذلك هيالورونات الصوديوم والجليسرين وكربوكسي ميثيل السليلوز الصوديوم، على تليين وترطيب سطح العين.,قد يختلف تكرار الإعطاء وعدد القطرات لكل تطبيق اعتمادًا على شدة أعراض جفاف العين واستجابة الفرد للعلاج. يُستخدم حسب توجيهات أخصائي الرعاية الصحية.
ترنتال إس آر 400 مجم 20 قرص مغلف,Trental 400 SR 20 Film Coated Tablets,128,سانوفى,الأدوية,أمراض القلب و الضغط و الدم,بنتوكسيفيلين,No,موسع للأوعية الدموية يعمل على تحسين تدفق الدم. يستخدم لعلاج العرج المتقطع، وهو حالة تسبب ألم في الساقين عند المشي.,400 مجم مرتين يومياً.
ستاركوبريكس 5 مجم 30 قرص مغلف,Starkoprex 5 mg 30 Film Coated Tablets,252,ابيكس فارما,الصحة الجنسية,علاج ضعف الانتصاب لدى الرجال,N/A,No,علاج ضعف الانتصاب (ED) لدى الرجال.,عادةً ما يتم تناول قرص واحد حسب الحاجة قبل ممارسة النشاط الجنسي. تجنب تناول وجبات كبيرة أو الكحول قبل تناول هذا الدواء حيث قد يؤثر ذلك على فعاليته.
كوين شفرات حلاقة للحواجب 3 شفرات,Queen Eyebrow Razor 3 Razors,128,لورد,العناية اليومية,ازالة الشعر للنساء,N/A,No,,
"نيل 15 لوشن للعناية بالأظافر, 15 مل",Nail 15 Lotion 15 ml,65,جلوبال نابى,العناية بالبشرة و الجسم,العناية بالأظافر,N/A,No,,
انتودين 40 مجم 30 قرص مغلف,Antodine 40 mg 30 Film Coated Tablets,93,امون,الأدوية,مضادات الحموضة و قرحة المعدة,فاموتيدين,No,منع وعلاج حرقة المعدة بسبب عسر الهضم الحمضي والمعدة الحامضة علاج القرحة الاثني عشرية والهضمية علاج متلازمة زولينجر-إيليسون، وهي حالة تسبب إنتاج المعدة لأحماض زائدة,40 مليجرام مرة واحدة يوميًا
أزادرم كريم موضعي 30 جرام,Azaderm Topical Cream 30 gm,87,شركة المهن الطبية,الأدوية,علاجات حب الشباب,حمض الأزيليك,No,كريم حمض الأزيليك يساعد في علاج حب الشباب يقلل الاحمرار والالتهاب,
